artifact_id	name	paper_use	figures_tables	code_entrypoints	result_records	notes
MT-A00	Notation and concept figures	Conceptual setup for relative lattice, spectral torus, toric jets, and the Appendix B lattice-field view	Main concept figure; Appendix B concept figure	code/paper_scripts/build_revision_figures.py	figures/fig_mta00_concept_spectral_toric_jet.pdf; figures/fig_mta00_lattice_field_toric_pj.pdf; figures/fig_concept_spectral_toric_jet_package.zip; figures/fig_lattice_field_toric_pj_package.zip	Non-experimental figure and notation artifact.
MT-A01	CIFAR scalar-table finite-window geometry	Finite-window scalar relative-bias probe and J0/J1/J2 table-projection context	Table 2 evidence map	code/scripts/run_v4_relative_geometry.py; code/scripts/run_v4_table_projection.py; code/toric_pj/diagnostics/relative_table_geometry.py; code/toric_pj/diagnostics/basis_projection.py	data/results/v4_cifar10_bias_export_10k; data/results/v4_relative_table_geometry_10k; data/results/v4_table_projection_cifar10_10k	Historical v4 names retained as source provenance; paper-facing ID is MT-A01.
MT-A02	CIFAR J0 sector intervention	Axial/oblique J0 keep-ablate intervention separating directional J0 evidence from high-order claims	Figure 4; Table 3	code/scripts/run_v12_sector_intervention_eval.py; code/toric_pj/experiments/v12_sector_intervention_eval.py	data/results/v12_e5_sector_intervention_cifar10_top110_30k_3seed	Uses the current non-best three-seed V12 E5 aggregate.
MT-A03	CIFAR fixed-budget downstream boundary	CIFAR masked-reconstruction sector selection and downstream controls for J0/J1/J2 boundary	Table 4	code/scripts/run_v12_teacher_jetorder_projection.py; code/scripts/run_v12_frequency_source_controls.py; code/toric_pj/experiments/v12_teacher_jetorder_projection.py; code/toric_pj/experiments/v12_frequency_source_controls.py	data/results/v12_e1_downstream_confirm3_cifar10_10k; data/results/v12_e1_j1j2_downstream_confirm3_cifar10_10k; data/results/v12_e2_downstream_controls_confirm3_cifar10_10k	Paper treats this as boundary/downstream evidence, not universal J2 dominance.
MT-A04	Controlled time-frequency high-order recovery	Synthetic time-frequency experiment with fixed-center J1/J2 positive margins	Figure 5; Table 5	code/scripts/run_v13_time_frequency_jet_positive.py; code/toric_pj/experiments/v13_time_frequency_jet_positive.py	data/results/v13_time_frequency_jet_positive	Core positive controlled example for higher-order sectors.
MT-A05	NSynth empirical CQT projection and subset stability	NSynth empirical offset field, projection hierarchy, and subset-size stability	Figure 6; Figure 7; Table 6	code/scripts/run_v15_nsynth_cqt_table_projection.py; code/scripts/run_v16_nsynth_cqt_projection_stability.py; code/toric_pj/experiments/v15_nsynth_cqt_table_projection.py; code/toric_pj/experiments/v16_nsynth_cqt_projection_stability.py	data/results/v15_nsynth_cqt_table_projection_256_top6; data/results/v16_nsynth_cqt_projection_stability_256_subsets	Projection-positive/time-frequency geometry evidence.
MT-A06	NSynth learned-bias hierarchy and matched-J0 controls	Learned scalar-bias projection, random in-window holdout, matched-J0 coverage controls, and seed-clustered summaries	NSynth learned-bias figure and matched-control tables	code/scripts/run_v17_nsynth_learned_bias_projection.py; code/scripts/run_v18_nsynth_learned_bias_holdout.py; code/toric_pj/experiments/v17_nsynth_learned_bias_projection.py; code/toric_pj/experiments/v18_nsynth_learned_bias_holdout.py	data/results/v17_nsynth_learned_bias_projection_3seed_2k; data/results/v18_nsynth_learned_bias_holdout_3seed_2k; data/results/v20_nsynth_matched_j0_control_top18_projection; data/results/v20_nsynth_matched_j0_control_top36_projection; data/results/v20_nsynth_matched_j0_control_top18_random; data/results/v20_nsynth_matched_j0_control_top36_random; data/results/v20_nsynth_matched_j0_control_summary.csv; data/results/v20_nsynth_matched_j0_control_seed_clustered.csv	Separates fixed-center jet signal from broader matched J0 coverage without treating table-mask evaluations as independent runs.
MT-A07	NSynth downstream boundary and validation audit	NSynth/CQT masked-reconstruction downstream boundary and evidence audit	Appendix audit table; Appendix protocol discussion	code/scripts/run_v14_nsynth_cqt_masked.py; code/scripts/run_v19_nsynth_cqt_validation_audit.py; code/toric_pj/experiments/v14_nsynth_cqt_masked.py; code/toric_pj/experiments/v19_nsynth_cqt_validation_audit.py	data/results/v14_nsynth_cqt_masked_confirm256_rectblock_3seed_2k; data/results/v19_nsynth_cqt_validation_audit	Included to mark NSynth downstream limits and validation status.
MT-A08	CIFAR masked-offset deployment stress test	Heldout-offset deployment gap and support-safe policy controls	Figure 9; Table 9	code/scripts/run_v4_offset_holdout.py; code/toric_pj/experiments/v4_offset_holdout.py	data/results/v4_offset_holdout_cifar10_10k; data/results/v4_offset_holdout_reg_cifar10_10k_h10b1_axis; data/results/v4_offset_holdout_eval_controls_dct_h1b10_cifar10_10k	Deployment artifact: visible-window fit is separated from full-window behavior.
MT-A09	Resolution-transfer and far-shell deployment	TinyImageNet 32-to-64 resolution transfer, native-grid far-shell audit, and compactified-chart extension-risk records	Figure 10; resolution-transfer and native far-shell tables	code/scripts/run_v12_compactified_chart_projection.py; code/scripts/run_v12_resolution_transfer.py; code/toric_pj/experiments/v12_compactified_chart_projection.py; code/toric_pj/experiments/v12_resolution_transfer.py; code/toric_pj/experiments/v8_theory_diagnostics.py; code/toric_pj/experiments/v9_batch_table_projection.py	data/results/v12_e4_compactified_chart_projection_cifar10_10k; data/results/v12_e6_resolution_transfer_tinyimagenet_3seed_fullval; data/results/v8_mechanism_claim_synthesis; data/results/v9_tinyimagenet_farband_teacher_10k_summary	Support-safe deployment and resolution-transfer boundary evidence.
