artifact_id	bundle_path	source_path	copy_status	notes
MT-A01	data/results/v4_cifar10_bias_export_10k	MetricToric/results/v4_cifar10_bias_export_10k	copied	CIFAR relative-bias export records.
MT-A01	data/results/v4_relative_table_geometry_10k	MetricToric/results/v4_relative_table_geometry_10k	copied	Finite-window geometry metrics and spectra.
MT-A01	data/results/v4_table_projection_cifar10_10k	MetricToric/results/v4_table_projection_cifar10_10k	copied	CIFAR scalar-table projection records.
MT-A02	data/results/v12_e5_sector_intervention_cifar10_top110_30k_3seed	MetricToric/results/v12_e5_sector_intervention_cifar10_top110_30k_3seed	copied	CIFAR axial/oblique J0 sector intervention.
MT-A03	data/results/v12_e1_downstream_confirm3_cifar10_10k	MetricToric/results/v12_e1_downstream_confirm3_cifar10_10k	copied	CIFAR downstream baseline sector selection.
MT-A03	data/results/v12_e1_j1j2_downstream_confirm3_cifar10_10k	MetricToric/results/v12_e1_j1j2_downstream_confirm3_cifar10_10k	copied	CIFAR downstream J1/J2 sector selection.
MT-A03	data/results/v12_e2_downstream_controls_confirm3_cifar10_10k	MetricToric/results/v12_e2_downstream_controls_confirm3_cifar10_10k	copied	CIFAR downstream controls.
MT-A04	data/results/v13_time_frequency_jet_positive	MetricToric/results/v13_time_frequency_jet_positive	copied	Controlled time-frequency J1/J2 positive recovery.
MT-A05	data/results/v15_nsynth_cqt_table_projection_256_top6	MetricToric/results/v15_nsynth_cqt_table_projection_256_top6	copied	NSynth empirical CQT offset-table projection.
MT-A05	data/results/v16_nsynth_cqt_projection_stability_256_subsets	MetricToric/results/v16_nsynth_cqt_projection_stability_256_subsets	copied	NSynth subset stability records.
MT-A06	data/results/v17_nsynth_learned_bias_projection_3seed_2k	MetricToric/results/v17_nsynth_learned_bias_projection_3seed_2k	copied	NSynth learned-bias full-window projection.
MT-A06	data/results/v18_nsynth_learned_bias_holdout_3seed_2k	MetricToric/results/v18_nsynth_learned_bias_holdout_3seed_2k	copied	NSynth learned-bias random in-window holdout.
MT-A06	data/results/v20_nsynth_matched_j0_control_top18_projection	MetricToric/results/v20_nsynth_matched_j0_control_top18_projection	copied	NSynth matched-J0 top18 projection control.
MT-A06	data/results/v20_nsynth_matched_j0_control_top36_projection	MetricToric/results/v20_nsynth_matched_j0_control_top36_projection	copied	NSynth matched-J0 top36 projection control.
MT-A06	data/results/v20_nsynth_matched_j0_control_top18_random	MetricToric/results/v20_nsynth_matched_j0_control_top18_random	copied	NSynth matched-J0 top18 random-holdout control.
MT-A06	data/results/v20_nsynth_matched_j0_control_top36_random	MetricToric/results/v20_nsynth_matched_j0_control_top36_random	copied	NSynth matched-J0 top36 random-holdout control.
MT-A06	data/results/v20_nsynth_matched_j0_control_summary.csv	MetricToric/results/v20_nsynth_matched_j0_control_summary.csv	copied	Matched-J0 control summary table.
